name,year,movie_tv_id,movie_tv_name,type,department,job,actor_id,created_at,updated_at
Jukka Anttonen,1988,6,Ariel,movie,Crew,Carpenter,3478267,2022-09-03 17:01:12,2022-09-03 17:01:12
Pirjo Laivuori,1988,6,Ariel,movie,Editing,Colorist,3480787,2022-09-03 17:01:12,2022-09-03 17:01:12
Aki Kaurismäki,1986,7,Varjoja paratiisissa,movie,Directing,Director,16767,2022-09-03 17:01:12,2022-09-03 17:01:12
Aki Kaurismäki,1986,7,Varjoja paratiisissa,movie,Writing,Writer,16767,2022-09-03 17:01:12,2022-09-03 17:01:12
Timo Salminen,1986,7,Varjoja paratiisissa,movie,Camera,Director of Photography,16769,2022-09-03 17:01:12,2022-09-03 17:01:12
Raija Talvio,1986,7,Varjoja paratiisissa,movie,Editing,Editor,54766,2022-09-03 17:01:12,2022-09-03 17:01:12
Tuula Hilkamo,1986,7,Varjoja paratiisissa,movie,Costume & Make-Up,Costume Design,54771,2022-09-03 17:01:12,2022-09-03 17:01:12
Mika Kaurismäki,1986,7,Varjoja paratiisissa,movie,Production,Producer,54767,2022-09-03 17:01:12,2022-09-03 17:01:12
Jaakko Talaskivi,1986,7,Varjoja paratiisissa,movie,Production,Production Manager,4831,2022-09-03 17:01:12,2022-09-03 17:01:12
Jouko Lumme,1986,7,Varjoja paratiisissa,movie,Sound,Sound Editor,16772,2022-09-03 17:01:12,2022-09-03 17:01:12
Jouko Lumme,1986,7,Varjoja paratiisissa,movie,Sound,Sound,16772,2022-09-03 17:01:12,2022-09-03 17:01:12
Jukka Nykänen,1986,7,Varjoja paratiisissa,movie,Editing,Assistant Editor,94755,2022-09-03 17:01:12,2022-09-03 17:01:12
Juuso Hirvikangas,1986,7,Varjoja paratiisissa,movie,Sound,Sound Assistant,110756,2022-09-03 17:01:12,2022-09-03 17:01:12
Pauli Pentti,1986,7,Varjoja paratiisissa,movie,Directing,Assistant Director,1034489,2022-09-03 17:01:12,2022-09-03 17:01:12
Heikki Ukkonen,1986,7,Varjoja paratiisissa,movie,Production,Location Manager,1084612,2022-09-03 17:01:12,2022-09-03 17:01:12
Pertti Hilkamo,1986,7,Varjoja paratiisissa,movie,Art,Production Design,1084614,2022-09-03 17:01:12,2022-09-03 17:01:12
Marja-Leena Hukkanen,1986,7,Varjoja paratiisissa,movie,Camera,Still Photographer,1303969,2022-09-03 17:01:12,2022-09-03 17:01:12
Marja-Leena Hukkanen,1986,7,Varjoja paratiisissa,movie,Directing,Script Supervisor,1303969,2022-09-03 17:01:12,2022-09-03 17:01:12
Mikko Mattila,1986,7,Varjoja paratiisissa,movie,Lighting,Gaffer,1381112,2022-09-03 17:01:12,2022-09-03 17:01:12
