name,character,year,movie_tv_id,movie_tv_name,type,department,order,actor_id,created_at,updated_at
Erkki Rissanen,Porter,1986,7,Varjoja paratiisissa,movie,Acting,18,2651486,2022-09-03 17:01:12,2022-09-03 17:01:12
Sirkka Silin,Woman in Restaurant,1986,7,Varjoja paratiisissa,movie,Acting,19,2651487,2022-09-03 17:01:12,2022-09-03 17:01:12
Marina Martinoff,Hostess,1986,7,Varjoja paratiisissa,movie,Acting,20,2651488,2022-09-03 17:01:12,2022-09-03 17:01:12
Jussi Tiitinen,Garbage Man / Bartender,1986,7,Varjoja paratiisissa,movie,Acting,21,2651489,2022-09-03 17:01:12,2022-09-03 17:01:12
Riikka Kuosmanen,Melartin's Daughter,1986,7,Varjoja paratiisissa,movie,Acting,22,2651491,2022-09-03 17:01:12,2022-09-03 17:01:12
Eskil Mansikka,Keyboardist (uncredited),1986,7,Varjoja paratiisissa,movie,Acting,23,3457313,2022-09-03 17:01:12,2022-09-03 17:01:12
Jaakko Talaskivi,Guard (uncredited),1986,7,Varjoja paratiisissa,movie,Acting,24,4831,2022-09-03 17:01:12,2022-09-03 17:01:12
Haije Alanoja,Woman in Restaurant (uncredited),1986,7,Varjoja paratiisissa,movie,Production,25,2159274,2022-09-03 17:01:12,2022-09-03 17:01:12
Bertta Pellonpää,Bingo Player (uncredited),1986,7,Varjoja paratiisissa,movie,Acting,26,3479164,2022-09-03 17:01:12,2022-09-03 17:01:12
Helmeri Pellonpää,Bingo Player (uncredited),1986,7,Varjoja paratiisissa,movie,Acting,27,2651545,2022-09-03 17:01:12,2022-09-03 17:01:12
Marja-Leena Hukkanen,Woman in Restaurant (uncredited),1986,7,Varjoja paratiisissa,movie,Camera,28,1303969,2022-09-03 17:01:12,2022-09-03 17:01:12
Aki Kaurismäki,Hotel Receptionist (uncredited),1986,7,Varjoja paratiisissa,movie,Directing,29,16767,2022-09-03 17:01:12,2022-09-03 17:01:12
Olli Varja,Customer (uncredited),1986,7,Varjoja paratiisissa,movie,Lighting,30,1381113,2022-09-03 17:01:12,2022-09-03 17:01:12
Tanja Talaskivi,Woman in Cinema (uncredited),1986,7,Varjoja paratiisissa,movie,Acting,31,3477088,2022-09-03 17:01:12,2022-09-03 17:01:12
Jukka Mäkinen,Garbage Man (uncredited),1986,7,Varjoja paratiisissa,movie,Directing,32,1912097,2022-09-03 17:01:12,2022-09-03 17:01:12
Tim Roth,Ted the Bellhop,1995,8,Four Rooms,movie,Acting,0,3129,2022-09-03 17:01:12,2022-09-03 17:01:12
Jennifer Beals,Angela,1995,8,Four Rooms,movie,Acting,1,3130,2022-09-03 17:01:12,2022-09-03 17:01:12
Antonio Banderas,Man,1995,8,Four Rooms,movie,Acting,2,3131,2022-09-03 17:01:12,2022-09-03 17:01:12
Valeria Golino,Athena,1995,8,Four Rooms,movie,Acting,3,3124,2022-09-03 17:01:12,2022-09-03 17:01:12
David Proval,Siegfried,1995,8,Four Rooms,movie,Acting,4,2555,2022-09-03 17:01:12,2022-09-03 17:01:12
Sammi Davis,Jezebel,1995,8,Four Rooms,movie,Acting,5,3122,2022-09-03 17:01:12,2022-09-03 17:01:12
Amanda de Cadenet,Diana,1995,8,Four Rooms,movie,Acting,6,3123,2022-09-03 17:01:12,2022-09-03 17:01:12
Madonna,Elspeth,1995,8,Four Rooms,movie,Acting,7,3125,2022-09-03 17:01:12,2022-09-03 17:01:12
Ione Skye,Eva,1995,8,Four Rooms,movie,Acting,8,3126,2022-09-03 17:01:12,2022-09-03 17:01:12
Lili Taylor,Raven,1995,8,Four Rooms,movie,Acting,9,3127,2022-09-03 17:01:12,2022-09-03 17:01:12
Alicia Witt,Kiva,1995,8,Four Rooms,movie,Acting,10,3128,2022-09-03 17:01:12,2022-09-03 17:01:12
Tamlyn Tomita,Wife,1995,8,Four Rooms,movie,Acting,11,3134,2022-09-03 17:01:12,2022-09-03 17:01:12
Lana McKissack,Sarah,1995,8,Four Rooms,movie,Acting,12,3132,2022-09-03 17:01:12,2022-09-03 17:01:12
Danny Verduzco,Juancho,1995,8,Four Rooms,movie,Acting,13,3135,2022-09-03 17:01:12,2022-09-03 17:01:12
Patricia Vonne,Corpse,1995,8,Four Rooms,movie,Acting,14,3133,2022-09-03 17:01:12,2022-09-03 17:01:12
Salma Hayek,TV Dancing Girl,1995,8,Four Rooms,movie,Acting,15,3136,2022-09-03 17:01:12,2022-09-03 17:01:12
Quentin Tarantino,Chester Rush,1995,8,Four Rooms,movie,Directing,16,138,2022-09-03 17:01:12,2022-09-03 17:01:12
Paul Calderon,Norman,1995,8,Four Rooms,movie,Acting,17,3137,2022-09-03 17:01:12,2022-09-03 17:01:12
Bruce Willis,Leo (uncredited),1995,8,Four Rooms,movie,Acting,18,62,2022-09-03 17:01:12,2022-09-03 17:01:12
Marisa Tomei,Margaret,1995,8,Four Rooms,movie,Acting,19,3141,2022-09-03 17:01:12,2022-09-03 17:01:12
Lawrence Bender,Long Hair Yuppy Scum,1995,8,Four Rooms,movie,Production,20,2545,2022-09-03 17:01:12,2022-09-03 17:01:12
Kathy Griffin,Betty,1995,8,Four Rooms,movie,Acting,21,3138,2022-09-03 17:01:12,2022-09-03 17:01:12
Kimberly Blair,Hooker,1995,8,Four Rooms,movie,Acting,22,37336,2022-09-03 17:01:12,2022-09-03 17:01:12
Marc Lawrence,Sam the Bellhop,1995,8,Four Rooms,movie,Acting,23,3140,2022-09-03 17:01:12,2022-09-03 17:01:12
Paul Skemp,Real Theodore,1995,8,Four Rooms,movie,Writing,24,1207062,2022-09-03 17:01:12,2022-09-03 17:01:12
Emilio Estevez,Frank Wyatt,1993,9,Judgment Night,movie,Acting,0,2880,2022-09-03 17:01:12,2022-09-03 17:01:12
Cuba Gooding Jr.,Mike Peterson,1993,9,Judgment Night,movie,Acting,1,9777,2022-09-03 17:01:12,2022-09-03 17:01:12
Denis Leary,Fallon,1993,9,Judgment Night,movie,Acting,2,5724,2022-09-03 17:01:12,2022-09-03 17:01:12
Stephen Dorff,John Wyatt,1993,9,Judgment Night,movie,Acting,3,10822,2022-09-03 17:01:12,2022-09-03 17:01:12
Jeremy Piven,Ray Cochran,1993,9,Judgment Night,movie,Acting,4,12799,2022-09-03 17:01:12,2022-09-03 17:01:12
