movie_id,actor_id,cast_name,role_priority,created_at,updated_at
12,1729623,Michael Leader,26,2022-09-03 17:01:12,2022-09-03 17:01:12
12,1216947,David Ankrum,27,2022-09-03 17:01:12,2022-09-03 17:01:12
12,3044,Scott Beach,28,2022-09-03 17:01:12,2022-09-03 17:01:12
12,1271059,Lightning Bear,29,2022-09-03 17:01:12,2022-09-03 17:01:12
12,1271060,Jon Berg,30,2022-09-03 17:01:12,2022-09-03 17:01:12
12,1271061,Doug Beswick,31,2022-09-03 17:01:12,2022-09-03 17:01:12
12,199356,Paul Blake,32,2022-09-03 17:01:12,2022-09-03 17:01:12
12,1271062,Janice Burchette,33,2022-09-03 17:01:12,2022-09-03 17:01:12
12,1271063,Ted Burnett,34,2022-09-03 17:01:12,2022-09-03 17:01:12
12,1271064,John Chapman,35,2022-09-03 17:01:12,2022-09-03 17:01:12
12,1271065,Gilda Cohen,36,2022-09-03 17:01:12,2022-09-03 17:01:12
12,1178140,Tim Condren,37,2022-09-03 17:01:12,2022-09-03 17:01:12
12,186229,Barry Copping,38,2022-09-03 17:01:12,2022-09-03 17:01:12
12,1271066,Alfie Curtis,39,2022-09-03 17:01:12,2022-09-03 17:01:12
12,1271067,Robert Davies,40,2022-09-03 17:01:12,2022-09-03 17:01:12
12,104149,Maria De Aragon,41,2022-09-03 17:01:12,2022-09-03 17:01:12
12,1271068,Robert A. Denham,42,2022-09-03 17:01:12,2022-09-03 17:01:12
12,1271069,Frazer Diamond,43,2022-09-03 17:01:12,2022-09-03 17:01:12
12,53587,Peter Diamond,44,2022-09-03 17:01:12,2022-09-03 17:01:12
12,1271070,Warwick Diamond,45,2022-09-03 17:01:12,2022-09-03 17:01:12
12,1271071,Sadie Eden,46,2022-09-03 17:01:12,2022-09-03 17:01:12
12,1271072,Kim Falkinburg,47,2022-09-03 17:01:12,2022-09-03 17:01:12
12,202402,Harry Fielder,48,2022-09-03 17:01:12,2022-09-03 17:01:12
12,1271073,Ted Gagliano,49,2022-09-03 17:01:12,2022-09-03 17:01:12
12,1271074,Salo Gardner,50,2022-09-03 17:01:12,2022-09-03 17:01:12
12,1195602,Steve Gawley,51,2022-09-03 17:01:12,2022-09-03 17:01:12
12,1271075,Barry Gnome,52,2022-09-03 17:01:12,2022-09-03 17:01:12
12,252527,Rusty Goffe,53,2022-09-03 17:01:12,2022-09-03 17:01:12
