name,character,year,movie_tv_id,movie_tv_name,type,department,order,actor_id
Sakari Kuosmanen,Doorman (voice) (uncredited),1988,6,Ariel,movie,Acting,36,4828
Pentti Auer,Skipper (voice) (uncredited),1988,6,Ariel,movie,Acting,37,110763
Matti Pellonpää,Nikander,1986,7,Varjoja paratiisissa,movie,Acting,0,4826
Kati Outinen,Ilona Rajamäki,1986,7,Varjoja paratiisissa,movie,Acting,1,5999
Sakari Kuosmanen,Melartin,1986,7,Varjoja paratiisissa,movie,Acting,2,4828
Esko Nikkari,Nikander's Co-Worker,1986,7,Varjoja paratiisissa,movie,Acting,3,53508
Kylli Köngäs,Ilona's Friend,1986,7,Varjoja paratiisissa,movie,Acting,4,1086499
Pekka Laiho,Store Manager,1986,7,Varjoja paratiisissa,movie,Acting,5,222320
Jukka-Pekka Palo,Third Man,1986,7,Varjoja paratiisissa,movie,Acting,6,1086500
Svante Korkiakoski,Police Officer,1986,7,Varjoja paratiisissa,movie,Acting,7,2307211
Mari Rantasila,Nikander's Sister,1986,7,Varjoja paratiisissa,movie,Acting,8,148389
Safka Pekkonen,Pianist,1986,7,Varjoja paratiisissa,movie,Acting,9,1761924
Antti Ortamo,Pianist,1986,7,Varjoja paratiisissa,movie,Sound,10,2651471
Mato Valtonen,Pelle,1986,7,Varjoja paratiisissa,movie,Acting,11,106172
Sakke Järvenpää,Staffan,1986,7,Varjoja paratiisissa,movie,Acting,12,69552
Ulla Kuosmanen,Melartin's Wife,1986,7,Varjoja paratiisissa,movie,Acting,13,2651474
Neka Haapanen,Cook,1986,7,Varjoja paratiisissa,movie,Acting,14,1294421
Pentti Koski,Singer,1986,7,Varjoja paratiisissa,movie,Acting,15,2651478
Ari Korhonen,Man in Restaurant,1986,7,Varjoja paratiisissa,movie,Acting,16,2651481
Teuvo Rissanen,Police Officer,1986,7,Varjoja paratiisissa,movie,Acting,17,2651483
Erkki Rissanen,Porter,1986,7,Varjoja paratiisissa,movie,Acting,18,2651486
Sirkka Silin,Woman in Restaurant,1986,7,Varjoja paratiisissa,movie,Acting,19,2651487
Marina Martinoff,Hostess,1986,7,Varjoja paratiisissa,movie,Acting,20,2651488
Jussi Tiitinen,Garbage Man / Bartender,1986,7,Varjoja paratiisissa,movie,Acting,21,2651489
Riikka Kuosmanen,Melartin's Daughter,1986,7,Varjoja paratiisissa,movie,Acting,22,2651491
Eskil Mansikka,Keyboardist (uncredited),1986,7,Varjoja paratiisissa,movie,Acting,23,3457313
Jaakko Talaskivi,Guard (uncredited),1986,7,Varjoja paratiisissa,movie,Acting,24,4831
Haije Alanoja,Woman in Restaurant (uncredited),1986,7,Varjoja paratiisissa,movie,Production,25,2159274
Bertta Pellonpää,Bingo Player (uncredited),1986,7,Varjoja paratiisissa,movie,Acting,26,3479164
Helmeri Pellonpää,Bingo Player (uncredited),1986,7,Varjoja paratiisissa,movie,Acting,27,2651545
Marja-Leena Hukkanen,Woman in Restaurant (uncredited),1986,7,Varjoja paratiisissa,movie,Camera,28,1303969
Aki Kaurismäki,Hotel Receptionist (uncredited),1986,7,Varjoja paratiisissa,movie,Directing,29,16767
Olli Varja,Customer (uncredited),1986,7,Varjoja paratiisissa,movie,Lighting,30,1381113
Tanja Talaskivi,Woman in Cinema (uncredited),1986,7,Varjoja paratiisissa,movie,Acting,31,3477088
Jukka Mäkinen,Garbage Man (uncredited),1986,7,Varjoja paratiisissa,movie,Directing,32,1912097
Tim Roth,Ted the Bellhop,1995,8,Four Rooms,movie,Acting,0,3129
Jennifer Beals,Angela,1995,8,Four Rooms,movie,Acting,1,3130
Antonio Banderas,Man,1995,8,Four Rooms,movie,Acting,2,3131
Valeria Golino,Athena,1995,8,Four Rooms,movie,Acting,3,3124
David Proval,Siegfried,1995,8,Four Rooms,movie,Acting,4,2555
Sammi Davis,Jezebel,1995,8,Four Rooms,movie,Acting,5,3122
Amanda de Cadenet,Diana,1995,8,Four Rooms,movie,Acting,6,3123
Madonna,Elspeth,1995,8,Four Rooms,movie,Acting,7,3125
Ione Skye,Eva,1995,8,Four Rooms,movie,Acting,8,3126
Lili Taylor,Raven,1995,8,Four Rooms,movie,Acting,9,3127
Alicia Witt,Kiva,1995,8,Four Rooms,movie,Acting,10,3128
Tamlyn Tomita,Wife,1995,8,Four Rooms,movie,Acting,11,3134
Lana McKissack,Sarah,1995,8,Four Rooms,movie,Acting,12,3132
Danny Verduzco,Juancho,1995,8,Four Rooms,movie,Acting,13,3135
Patricia Vonne,Corpse,1995,8,Four Rooms,movie,Acting,14,3133
Salma Hayek,TV Dancing Girl,1995,8,Four Rooms,movie,Acting,15,3136
Quentin Tarantino,Chester Rush,1995,8,Four Rooms,movie,Directing,16,138
Paul Calderon,Norman,1995,8,Four Rooms,movie,Acting,17,3137
Bruce Willis,Leo (uncredited),1995,8,Four Rooms,movie,Acting,18,62
Marisa Tomei,Margaret,1995,8,Four Rooms,movie,Acting,19,3141
Lawrence Bender,Long Hair Yuppy Scum,1995,8,Four Rooms,movie,Production,20,2545
Kathy Griffin,Betty,1995,8,Four Rooms,movie,Acting,21,3138
Kimberly Blair,Hooker,1995,8,Four Rooms,movie,Acting,22,37336
Marc Lawrence,Sam the Bellhop,1995,8,Four Rooms,movie,Acting,23,3140
Paul Skemp,Real Theodore,1995,8,Four Rooms,movie,Writing,24,1207062
Emilio Estevez,Frank Wyatt,1993,9,Judgment Night,movie,Acting,0,2880
Cuba Gooding Jr.,Mike Peterson,1993,9,Judgment Night,movie,Acting,1,9777
Denis Leary,Fallon,1993,9,Judgment Night,movie,Acting,2,5724
Stephen Dorff,John Wyatt,1993,9,Judgment Night,movie,Acting,3,10822
Jeremy Piven,Ray Cochran,1993,9,Judgment Night,movie,Acting,4,12799
Peter Greene,Sykes,1993,9,Judgment Night,movie,Acting,5,11803
Michael DeLorenzo,"Teddy, the Kid",1993,9,Judgment Night,movie,Acting,6,52422
Everlast,Rhodes,1993,9,Judgment Night,movie,Acting,7,121667
Michael Wiseman,Travis,1993,9,Judgment Night,movie,Acting,8,102710
Relioues Webb,Dre,1993,9,Judgment Night,movie,Acting,9,1077264
Eugene Williams,Buck,1993,9,Judgment Night,movie,Acting,10,154124
Christine Harnos,Linda Wyatt,1993,9,Judgment Night,movie,Acting,11,55964
Galyn Görg,Clarissa,1993,9,Judgment Night,movie,Acting,12,105988
Angela Alvarado,Rita,1993,9,Judgment Night,movie,Acting,13,22621
Will Zahrn,Charley,1993,9,Judgment Night,movie,Acting,14,1226696
Rita Lengyel,Alexandra,2004,11,Sonntag im August,movie,Acting,0,901
Milton Welsh,Er,2004,11,Sonntag im August,movie,Acting,1,902
Mark Hamill,Luke Skywalker,1977,12,Star Wars,movie,Acting,0,2
Harrison Ford,Han Solo,1977,12,Star Wars,movie,Acting,1,3
Carrie Fisher,Princess Leia Organa,1977,12,Star Wars,movie,Acting,2,4
Peter Cushing,Grand Moff Tarkin,1977,12,Star Wars,movie,Acting,3,5
Alec Guinness,"Obi-Wan ""Ben"" Kenobi",1977,12,Star Wars,movie,Acting,4,12248
Anthony Daniels,C-3PO,1977,12,Star Wars,movie,Acting,5,6
Kenny Baker,R2-D2,1977,12,Star Wars,movie,Acting,6,130
Peter Mayhew,Chewbacca,1977,12,Star Wars,movie,Acting,7,24343
David Prowse,Darth Vader (performer),1977,12,Star Wars,movie,Acting,8,24342
James Earl Jones,Darth Vader (voice),1977,12,Star Wars,movie,Acting,9,15152
