movie_id,actor_id,cast_name,role_priority
12,1271122,Angela Staines,83
12,1271123,George Stock,84
12,1271124,Roy Straite,85
12,1271125,Peter Sturgeon,86
12,187398,Peter Sumner,87
12,1271126,John Sylla,88
12,390158,Tom Sylla,89
12,166258,Malcolm Tierney,90
12,7727,Phil Tippett,91
12,184980,Burnell Tucker,92
12,160947,Morgan Upton,93
12,161301,Jerry Walter,94
12,1271127,Hal Wamsley,95
12,159108,Larry Ward,96
12,1271128,Diana Sadley Way,97
12,24278,Bill Weston,98
12,1271131,Fred Wood,99
12,301657,Colin Higgins,100
12,1490615,Ron Tarr,101
12,227857,Anthony Forrest,102
12,2646226,Frances Alfred Basil Tomlin,103
12,2724038,Ronny Cush,104
13,13,Albert Brooks,0
13,14,Ellen DeGeneres,1
13,12,Alexander Gould,2
13,5293,Willem Dafoe,3
13,18,Brad Garrett,4
13,19,Allison Janney,5
13,6168,Austin Pendleton,6
13,17401,Stephen Root,7
13,14723,Vicki Lewis,8
13,7911,Joe Ranft,9
13,118,Geoffrey Rush,10
13,7,Andrew Stanton,11
13,20,Elizabeth Perkins,12
13,981048,Nicholas Bird,13
13,10,Bob Peterson,14
13,22,Barry Humphries,15
13,8783,Eric Bana,16
13,27752,Bruce Spence,17
13,23,Bill Hunter,18
13,981049,LuLu Ebeling,19
13,1211731,Jordan Ranft,20
13,1372790,Erica Beck,21
13,17190,Erik Per Sullivan,22
13,7907,John Ratzenberger,23
13,59784,Carlos Alazraqui,24
13,91776,Alec Medlock,25
13,78317,Bob Bergen,26
13,1440346,Nicole Miller,27
13,28746,Geoff Brooks,28
13,1356958,Lisa Peers,29
13,86006,Paul Eiding,30
13,61969,Phil Proctor,31
13,3398277,Leland Grossman,32
13,57675,Daryl Sabara,33
13,3147350,Lili Ishida,34
13,1224858,Emmett Shoemaker,35
13,75322,Oliver Kindred,36
13,3398279,Ben Stanton,37
13,52699,Danny Mann,38
13,3149499,Kali Whitehurst,39
13,136272,Rove McManus,40
13,1992727,James S. Baker,41
13,120617,Vanessa Marano,42
13,19548,Susan Blu,43
13,3398280,Annelise Nolting,44
