name,year,movie_tv_id,movie_tv_name,type,department,job,actor_id
Ben Parker,1995,8,Four Rooms,movie,Crew,Set Production Assistant,1877361
Nick Roberts,1995,8,Four Rooms,movie,Crew,Security,1877363
Patrice Carbaugh,1995,8,Four Rooms,movie,Crew,Set Medic,1877365
Michael Boyce Harris,1995,8,Four Rooms,movie,Crew,Stand In,1877369
Dotti Thompson,1995,8,Four Rooms,movie,Crew,Transportation Captain,1877370
Bob Allen,1995,8,Four Rooms,movie,Editing,First Assistant Editor,1877377
Marcel DeJure,1995,8,Four Rooms,movie,Lighting,Electrician,1877378
Chuck Smith,1995,8,Four Rooms,movie,Lighting,Gaffer,1877379
Deborah Hebert,1995,8,Four Rooms,movie,Production,Production Accountant,1877380
David Gertz,1995,8,Four Rooms,movie,Sound,Foley Mixer,1877413
Jan D. Tys,1995,8,Four Rooms,movie,Crew,Studio Teachers,1877415
Joseph W. Grafmuller,1995,8,Four Rooms,movie,Art,Swing,1895858
Theresa Repola Mohammed,1995,8,Four Rooms,movie,Editing,Negative Cutter,1899435
Kristen Becht,1995,8,Four Rooms,movie,Sound,Music Coordinator,2022847
Christina Tucker,1995,8,Four Rooms,movie,Sound,ADR Mixer,2045529
Martin Charles,1995,8,Four Rooms,movie,Art,Graphic Designer,2080021
Mary Patvaldnieks,1995,8,Four Rooms,movie,Art,Assistant Decorator,2278012
Andrew King,1995,8,Four Rooms,movie,Art,Assistant Property Master,2278013
Vincent Cassaro,1995,8,Four Rooms,movie,Sound,Second Assistant Sound,2278014
Christy Sumner,1995,8,Four Rooms,movie,Crew,Special Effects Assistant,2278015
Gregory C. Smith,1995,8,Four Rooms,movie,Camera,Assistant Camera,2278016
James Irons,1995,8,Four Rooms,movie,Camera,Best Boy Grip,2278017
Bob Ivanjack,1995,8,Four Rooms,movie,Camera,Dolly Grip,2278018
Jeff Ervin,1995,8,Four Rooms,movie,Editing,Assistant Editor,2278019
Heidrun M. Williams,1995,8,Four Rooms,movie,Production,Assistant Accountant,2278020
Susan Noonan-Gero,1995,8,Four Rooms,movie,Production,Assistant Production Coordinator,2278021
Stephen Hopkins,1993,9,Judgment Night,movie,Directing,Director,2042
Lewis Colick,1993,9,Judgment Night,movie,Writing,Screenplay,52035
Lewis Colick,1993,9,Judgment Night,movie,Writing,Story,52035
Gene Levy,1993,9,Judgment Night,movie,Production,Producer,71417
Alan Silvestri,1993,9,Judgment Night,movie,Sound,Original Music Composer,37
Peter Levy,1993,9,Judgment Night,movie,Camera,Director of Photography,2044
John M. Dwyer,1993,9,Judgment Night,movie,Art,Set Decoration,796
Marilyn Vance,1993,9,Judgment Night,movie,Costume & Make-Up,Costume Design,7719
